Event_id,Category,Location,Qualifications,Age
E1,Youth Development,Solo,"Youth mentoring, Youth empowerment",>18
E2,Youth Development,Jakarta,"Mentoring, Team management, Public relation",>18
E3,Youth Development,Jabodetabek,"Art therapy, Tutoring",18-24
E4,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E5,Youth Development,Bandung,Volunteer coordination,All
E6,Youth Development,Bali,"Communication, Leadership training",15-35
E7,Youth Development,Jakarta,"Content creation, Public speaking",16-38
E8,Youth Development,Jabodetabek,"Leadership development, Public speaking",All
E9,Youth Development,Indonesia,"Event planning, Public relation",>20
E10,Youth Development,"Maluku, Banda Neira",Communication,18-24
E11,Youth Development,Bekasi,Communication,18-24
E12,Youth Development,Yogyakarta,"Event planning, Health education, Public relation",15-35
E13,Youth Development,Bogor,Communication,18-24
E14,Youth Development,Indonesia,"Team building, Team building",18-24
E15,Youth Development,Bogor,Environmental education,15-35
E16,Youth Development,Bekasi,Event planning,18-24
E17,Youth Development,Bandung,"Communication, Teaching",>20
E18,Youth Development,Bali,Volunteer coordination,>18
E19,Youth Development,Indonesia,"Environmental education, Team building",All
E20,Youth Development,Jabodetabek,"Art therapy, Event coordination, English language tutoring",>18
E21,Youth Development,Bandung,"Volunteer coordination, Public speaking",All
E22,Youth Development,Jawa Barat,"Public speaking, Public speaking",18-24
E23,Youth Development,Bekasi,"Leadership development, Event coordination",>20
E24,Youth Development,Kalimantan Selatan,"Leadership development, Team building, Public relation",17-30
E25,Youth Development,Yogyakarta,"Leadership development, Team building",All
E26,Youth Development,Depok,Art therapy,16-38
E27,Youth Development,Jakarta,Leadership development,18-24
E28,Youth Development,Jakarta,"Public relation, Volunteer management",21-27
E29,Youth Development,Bali,"Environmental education, Leadership training",18-24
E30,Youth Development,Bandung,Team building,All
E31,Youth Development,Jawa Barat,"Public relation, Volunteer management",>18
E32,Youth Development,Yogyakarta,"Mentoring, Health education",15-35
E33,Youth Development,Indonesia,"Communication, Volunteer management",18-24
E34,Youth Development,Bali,"First aid, English language tutoring",18-24
E35,Youth Development,Bogor,Computer literacy,>20
E36,Youth Development,Depok,"Leadership development, Team building",All
E37,Youth Development,Bekasi,"Photography, Leadership training",15-35
E38,Youth Development,Tangerang,"Computer literacy, Leadership training",18-24
E39,Youth Development,Jakarta,"Event planning, Event coordination, Public relation",>20
E40,Youth Development,Yogyakarta,Photography,15-35
E41,Youth Development,Jawa Barat,"Mentoring, Health education, Youth mentoring",>20
E42,Youth Development,Yogyakarta,"Computer literacy, Leadership training",18-24
E43,Youth Development,Yogyakarta,"Mentoring, Teaching",15-35
E44,Youth Development,Tangerang,Art therapy,>17
E45,Youth Development,Indonesia,"Mentoring, Volunteer management",15-35
E46,Youth Development,Jabodetabek,"Content creation, Public speaking",16-38
E47,Youth Development,Bandung,"Photography, Youth mentoring",16-38
E48,Youth Development,Depok,"Public relation, Health education",All
E49,Youth Development,Jabodetabek,Volunteer coordination,18-24
E50,Youth Development,Bandung,"Team building, Health education, Public relation",>20
E51,Youth Development,Indonesia,Computer literacy,15-35
E52,Youth Development,Jakarta,"Content creation, Event coordination",21-27
E53,Youth Development,Depok,Leadership development,All
E54,Youth Development,Jabodetabek,"First aid, Leadership training",18-24
E55,Youth Development,Kalimantan Selatan,"Leadership development, Health education",16-38
E56,Youth Development,Bandung,Mentoring,16-38
E57,Youth Development,Jakarta,"Event planning, Teaching",16-38
E58,Youth Development,Yogyakarta,Communication,15-35
E59,Youth Development,Bandung,Computer literacy,16-38
E60,Youth Development,Bali,Art therapy,All
E61,Youth Development,Yogyakarta,"Event planning, Health education",17-30
E62,Youth Development,Bali,Advocacy,18-24
E63,Youth Development,Bali,"Advocacy, Youth mentoring",16-38
E64,Youth Development,"Maluku, Banda Neira","Advocacy, Public relation",16-38
E65,Youth Development,Indonesia,"Art therapy, Health education",15-35
E66,Youth Development,Bogor,Leadership development,All
E67,Youth Development,Jakarta,"Event planning, Event coordination, Youth mentoring",>20
E68,Youth Development,Bandung,"Content creation, Tutoring, Youth mentoring",16-38
E69,Youth Development,Kalimantan Selatan,"Advocacy, Health education",>20
E70,Youth Development,Jakarta,"Mentoring, Leadership training, Teaching",15-35
E71,Youth Development,Bali,"Public relation, Event coordination",All
E72,Youth Development,Bali,Art therapy,16-38
E73,Youth Development,Jawa Barat,"Content creation, Volunteer management",>20
E74,Youth Development,Bogor,Computer literacy,18-24
E75,Youth Development,Jabodetabek,"First aid, Health education, Public relation",>20
E76,Youth Development,Bali,"Event planning, Team building",18-24
E77,Youth Development,Kalimantan Selatan,"Team building, Public relation",18-24
E78,Youth Development,Indonesia,"Photography, Team building, Youth mentoring",21-27
E79,Youth Development,Jakarta,"Event planning, Team management, English language tutoring",>17
E80,Youth Development,Bekasi,"Communication, Tutoring, Teaching",15-35
E81,Youth Development,Yogyakarta,Content creation,>18
